,District,cumulativeConfirmedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeDeceasedNumberForDistrict,Date,State/UTCode,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,last_updated,cumulativeTestedNumberForState,tested_last_updated_state,deltaTestedForState,cumulativeVaccinatedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinated3NumberForState,cumulativeVaccinatedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,cumulativeVaccinated3NumberForDistrict,tested_source_state,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaVaccinated3ForState,deltaVaccinated2ForState,deltaVaccinated1ForState,deltaVaccinatedForState,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,deltaVaccinated3ForDistrict,deltaVaccinatedForDistrict,deltaConfirmedForDistrict,deltaRecoveredForDistrict,deltaDeceasedForDistrict,7DmaTestedForState,delta21_14confirmedForState,statePopulation,StateName,districtPopulation
0,Andaman and Nicobar Islands,10766,10637,129,2023-08-16,TT,44996393,531922,44463021,2023-12-25 23:23:53.708998,934278701,2023-08-15 00:00:00,49284,2206731346,1027415933,951982658,227332755,991264,347616,353285,290363,https://www.icmr.gov.in/,80,1,101,40,34,24,98,0,0,0,0,0,0,0,,,1332900000,Andaman and Nicobar Islands,397000
1,Andhra Pradesh,2340676,2325943,14733,2023-08-16,TT,44996393,531922,44463021,2023-12-25 23:23:53.708998,934278701,2023-08-15 00:00:00,49284,2206731346,1027415933,951982658,227332755,110957427,44704413,47578800,18674214,https://www.icmr.gov.in/,80,1,101,40,34,24,98,0,0,0,0,0,0,0,,,1332900000,Andhra Pradesh,52221000
2,Arunachal Pradesh,67049,66753,296,2023-08-16,TT,44996393,531922,44463021,2023-12-25 23:23:53.708998,934278701,2023-08-15 00:00:00,49284,2206731346,1027415933,951982658,227332755,1924584,961348,821819,141417,https://www.icmr.gov.in/,80,1,101,40,34,24,98,0,0,0,0,0,0,0,,,1332900000,Arunachal Pradesh,1504000
3,Assam,746150,738115,8035,2023-08-16,TT,44996393,531922,44463021,2023-12-25 23:23:53.708998,934278701,2023-08-15 00:00:00,49284,2206731346,1027415933,951982658,227332755,50335778,24813013,22150254,3372511,https://www.icmr.gov.in/,80,1,101,40,34,24,98,0,0,0,0,0,0,0,,,1332900000,Assam,34293000
4,Bihar,855262,842947,12314,2023-08-16,TT,44996393,531922,44463021,2023-12-25 23:23:53.708998,934278701,2023-08-15 00:00:00,49284,2206731346,1027415933,951982658,227332755,157291779,73485708,67912418,15893653,https://www.icmr.gov.in/,80,1,101,40,34,24,98,0,0,1,1,0,0,0,,,1332900000,Bihar,119520000
5,Chandigarh,100693,99508,1185,2023-08-16,TT,44996393,531922,44463021,2023-12-25 23:23:53.708998,934278701,2023-08-15 00:00:00,49284,2206731346,1027415933,951982658,227332755,2291732,1185868,991136,114728,https://www.icmr.gov.in/,80,1,101,40,34,24,98,1,5,3,9,0,0,0,,,1332900000,Chandigarh,1179000
6,Chhattisgarh,1187694,1173501,14190,2023-08-16,TT,44996393,531922,44463021,2023-12-25 23:23:53.708998,934278701,2023-08-15 00:00:00,49284,2206731346,1027415933,951982658,227332755,49167939,21267795,20343760,7556384,https://www.icmr.gov.in/,80,1,101,40,34,24,98,0,0,0,0,1,0,0,,,1332900000,Chhattisgarh,28724000
7,Dadra and Nagar Haveli and Daman and Diu,11592,11588,4,2023-08-16,TT,44996393,531922,44463021,2023-12-25 23:23:53.708998,934278701,2023-08-15 00:00:00,49284,2206731346,1027415933,951982658,227332755,1580060,782353,636962,160745,https://www.icmr.gov.in/,80,1,101,40,34,24,98,0,0,0,0,0,0,0,,,1332900000,Dadra and Nagar Haveli and Daman and Diu,959000
8,Delhi,2040847,2014172,26666,2023-08-16,TT,44996393,531922,44463021,2023-12-25 23:23:53.708998,934278701,2023-08-15 00:00:00,49284,2206731346,1027415933,951982658,227332755,37409213,18297800,15717484,3393929,https://www.icmr.gov.in/,80,1,101,40,34,24,98,0,0,1,1,7,5,0,,,1332900000,Delhi,19814000
9,Goa,263334,259319,4014,2023-08-16,TT,44996393,531922,44463021,2023-12-25 23:23:53.708998,934278701,2023-08-15 00:00:00,49284,2206731346,1027415933,951982658,227332755,2874477,1440045,1295735,138697,https://www.icmr.gov.in/,80,1,101,40,34,24,98,0,0,0,0,0,0,0,,,1332900000,Goa,1540000
