,Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeOtherNumberForState,cumulativeOtherNumberForDistrict
0,2022-08-29,MZ,Aizawl,,,,,,,,2022-08-29 23:55:27.467980,,,,236967,720,235711,,0,0
1,2022-08-29,MZ,Champhai,,,,,,,,2022-08-29 23:55:27.467980,,,,236967,720,235711,,0,0
2,2022-08-29,MZ,Hnahthial,,,,,,,,2022-08-29 23:55:27.467980,,,,236967,720,235711,,0,0
3,2022-08-29,MZ,Khawzawl,,,,,,,,2022-08-29 23:55:27.467980,,,,236967,720,235711,,0,0
4,2022-08-29,MZ,Kolasib,,,,,,,,2022-08-29 23:55:27.467980,,,,236967,720,235711,,0,0
5,2022-08-29,MZ,Lawngtlai,,,,,,,,2022-08-29 23:55:27.467980,,,,236967,720,235711,,0,0
6,2022-08-29,MZ,Lunglei,,,,,,,,2022-08-29 23:55:27.467980,,,,236967,720,235711,,0,0
7,2022-08-29,MZ,Mamit,,,,,,,,2022-08-29 23:55:27.467980,,,,236967,720,235711,,0,0
8,2022-08-29,MZ,Saiha,,,,,,,,2022-08-29 23:55:27.467980,,,,236967,720,235711,,0,0
9,2022-08-29,MZ,Saitual,,,,,,,,2022-08-29 23:55:27.467980,,,,236967,720,235711,,0,0
10,2022-08-29,MZ,Serchhip,,,,,,,,2022-08-29 23:55:27.467980,,,,236967,720,235711,,0,0
11,2022-08-29,MZ,Unknown,,,,236967,720,235711,,2022-08-29 23:55:27.467980,,,,236967,720,235711,,0,0
