"S. No.","District","Total Confirmed 
Cases","Total Active 
Cases","Total Cured","Deaths"
"1","Ludhiana","87620","21","85493","2106"
"2","SAS Nagar","68827","20","67738","1069"
"3","Jalandhar","63408","28","61884","1496"
"4","Patiala","48929","5","47566","1358"
"5","Amritsar","47389","15","45776","1598"
"6","Bathinda","41731","14","40675","1042"
"7","Hoshiarpur","30830","11","29833","986"
"8","Gurdaspur","22382","1","21580","801"
"9","Fazilka","20276","13","19735","528"
"10","Pathankot","18821","20","18381","420"
"11","Muktsar","18784","2","18258","524"
"12","Kapurthala","17854","4","17294","556"
"13","Sangrur","15766","6","14885","875"
"14","Mansa","15607","1","15226","380"
"15","Ferozepur","14352","12","13836","504"
"16","Faridkot","13928","6","13607","315"
"17","Ropar","12968","19","12525","424"
"18","SBS Nagar","11472","4","11080","388"
"19","FG Sahib","8879","5","8539","335"
"20","Moga","8677","2","8442","233"
"21","Tarn Taran","8046","3","7663","380"
"22","Barnala","5950","7","5699","244"
"","Total","602496","219","585715","16562"
