,Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeOtherNumberForState,cumulativeOtherNumberForDistrict
0,2022-07-18,MP,Agar Malwa,,,,,,,,2022-07-19 11:54:54.787302,,,,1046890,10746,1034937,,0,0
1,2022-07-18,MP,Alirajpur,,,,,,,,2022-07-19 11:54:54.787302,,,,1046890,10746,1034937,,0,0
2,2022-07-18,MP,Anuppur,,,,,,,,2022-07-19 11:54:54.787302,,,,1046890,10746,1034937,,0,0
3,2022-07-18,MP,Ashoknagar,,,,,,,,2022-07-19 11:54:54.787302,,,,1046890,10746,1034937,,0,0
4,2022-07-18,MP,Balaghat,,,,,,,,2022-07-19 11:54:54.787302,,,,1046890,10746,1034937,,0,0
5,2022-07-18,MP,Barwani,,,,,,,,2022-07-19 11:54:54.787302,,,,1046890,10746,1034937,,0,0
6,2022-07-18,MP,Betul,,,,,,,,2022-07-19 11:54:54.787302,,,,1046890,10746,1034937,,0,0
7,2022-07-18,MP,Bhind,,,,,,,,2022-07-19 11:54:54.787302,,,,1046890,10746,1034937,,0,0
8,2022-07-18,MP,Bhopal,,,,,,,,2022-07-19 11:54:54.787302,,,,1046890,10746,1034937,,0,0
9,2022-07-18,MP,Burhanpur,,,,,,,,2022-07-19 11:54:54.787302,,,,1046890,10746,1034937,,0,0
10,2022-07-18,MP,Chhatarpur,,,,,,,,2022-07-19 11:54:54.787302,,,,1046890,10746,1034937,,0,0
11,2022-07-18,MP,Chhindwara,,,,,,,,2022-07-19 11:54:54.787302,,,,1046890,10746,1034937,,0,0
12,2022-07-18,MP,Damoh,,,,,,,,2022-07-19 11:54:54.787302,,,,1046890,10746,1034937,,0,0
13,2022-07-18,MP,Datia,,,,,,,,2022-07-19 11:54:54.787302,,,,1046890,10746,1034937,,0,0
14,2022-07-18,MP,Dewas,,,,,,,,2022-07-19 11:54:54.787302,,,,1046890,10746,1034937,,0,0
15,2022-07-18,MP,Dhar,,,,,,,,2022-07-19 11:54:54.787302,,,,1046890,10746,1034937,,0,0
16,2022-07-18,MP,Dindori,,,,,,,,2022-07-19 11:54:54.787302,,,,1046890,10746,1034937,,0,0
17,2022-07-18,MP,Guna,,,,,,,,2022-07-19 11:54:54.787302,,,,1046890,10746,1034937,,0,0
18,2022-07-18,MP,Gwalior,,,,,,,,2022-07-19 11:54:54.787302,,,,1046890,10746,1034937,,0,0
19,2022-07-18,MP,Harda,,,,,,,,2022-07-19 11:54:54.787302,,,,1046890,10746,1034937,,0,0
20,2022-07-18,MP,Hoshangabad,,,,,,,,2022-07-19 11:54:54.787302,,,,1046890,10746,1034937,,0,0
21,2022-07-18,MP,Indore,,,,,,,,2022-07-19 11:54:54.787302,,,,1046890,10746,1034937,,0,0
22,2022-07-18,MP,Jabalpur,,,,,,,,2022-07-19 11:54:54.787302,,,,1046890,10746,1034937,,0,0
23,2022-07-18,MP,Jhabua,,,,,,,,2022-07-19 11:54:54.787302,,,,1046890,10746,1034937,,0,0
24,2022-07-18,MP,Katni,,,,,,,,2022-07-19 11:54:54.787302,,,,1046890,10746,1034937,,0,0
25,2022-07-18,MP,Khandwa,,,,,,,,2022-07-19 11:54:54.787302,,,,1046890,10746,1034937,,0,0
26,2022-07-18,MP,Khargone,,,,,,,,2022-07-19 11:54:54.787302,,,,1046890,10746,1034937,,0,0
27,2022-07-18,MP,Mandla,,,,,,,,2022-07-19 11:54:54.787302,,,,1046890,10746,1034937,,0,0
28,2022-07-18,MP,Mandsaur,,,,,,,,2022-07-19 11:54:54.787302,,,,1046890,10746,1034937,,0,0
29,2022-07-18,MP,Morena,,,,,,,,2022-07-19 11:54:54.787302,,,,1046890,10746,1034937,,0,0
30,2022-07-18,MP,Narsinghpur,,,,,,,,2022-07-19 11:54:54.787302,,,,1046890,10746,1034937,,0,0
31,2022-07-18,MP,Neemuch,,,,,,,,2022-07-19 11:54:54.787302,,,,1046890,10746,1034937,,0,0
32,2022-07-18,MP,Niwari,,,,,,,,2022-07-19 11:54:54.787302,,,,1046890,10746,1034937,,0,0
33,2022-07-18,MP,Other Region,,,,,,,,2022-07-19 11:54:54.787302,,,,1046890,10746,1034937,,0,0
34,2022-07-18,MP,Panna,,,,,,,,2022-07-19 11:54:54.787302,,,,1046890,10746,1034937,,0,0
35,2022-07-18,MP,Raisen,,,,,,,,2022-07-19 11:54:54.787302,,,,1046890,10746,1034937,,0,0
36,2022-07-18,MP,Rajgarh,,,,,,,,2022-07-19 11:54:54.787302,,,,1046890,10746,1034937,,0,0
37,2022-07-18,MP,Ratlam,,,,,,,,2022-07-19 11:54:54.787302,,,,1046890,10746,1034937,,0,0
38,2022-07-18,MP,Rewa,,,,,,,,2022-07-19 11:54:54.787302,,,,1046890,10746,1034937,,0,0
39,2022-07-18,MP,Sagar,,,,,,,,2022-07-19 11:54:54.787302,,,,1046890,10746,1034937,,0,0
40,2022-07-18,MP,Satna,,,,,,,,2022-07-19 11:54:54.787302,,,,1046890,10746,1034937,,0,0
41,2022-07-18,MP,Sehore,,,,,,,,2022-07-19 11:54:54.787302,,,,1046890,10746,1034937,,0,0
42,2022-07-18,MP,Seoni,,,,,,,,2022-07-19 11:54:54.787302,,,,1046890,10746,1034937,,0,0
43,2022-07-18,MP,Shahdol,,,,,,,,2022-07-19 11:54:54.787302,,,,1046890,10746,1034937,,0,0
44,2022-07-18,MP,Shajapur,,,,,,,,2022-07-19 11:54:54.787302,,,,1046890,10746,1034937,,0,0
45,2022-07-18,MP,Sheopur,,,,,,,,2022-07-19 11:54:54.787302,,,,1046890,10746,1034937,,0,0
