,Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeOtherNumberForState,cumulativeOtherNumberForDistrict
0,2023-02-14,JH,Bokaro,,,,,,,,2023-02-15 13:55:26.101368,,,"As of 1st November 2022, this site will reflect the National and State level data as published by MoHFW. The district level data will not be updated beyond 31st October 2022.",442575,5331,437243,,0,0
1,2023-02-14,JH,Chatra,,,,,,,,2023-02-15 13:55:26.101368,,,"As of 1st November 2022, this site will reflect the National and State level data as published by MoHFW. The district level data will not be updated beyond 31st October 2022.",442575,5331,437243,,0,0
2,2023-02-14,JH,Deoghar,,,,,,,,2023-02-15 13:55:26.101368,,,"As of 1st November 2022, this site will reflect the National and State level data as published by MoHFW. The district level data will not be updated beyond 31st October 2022.",442575,5331,437243,,0,0
3,2023-02-14,JH,Dhanbad,,,,,,,,2023-02-15 13:55:26.101368,,,"As of 1st November 2022, this site will reflect the National and State level data as published by MoHFW. The district level data will not be updated beyond 31st October 2022.",442575,5331,437243,,0,0
4,2023-02-14,JH,Dumka,,,,,,,,2023-02-15 13:55:26.101368,,,"As of 1st November 2022, this site will reflect the National and State level data as published by MoHFW. The district level data will not be updated beyond 31st October 2022.",442575,5331,437243,,0,0
5,2023-02-14,JH,East Singhbhum,,,,,,,,2023-02-15 13:55:26.101368,,,"As of 1st November 2022, this site will reflect the National and State level data as published by MoHFW. The district level data will not be updated beyond 31st October 2022.",442575,5331,437243,,0,0
6,2023-02-14,JH,Garhwa,,,,,,,,2023-02-15 13:55:26.101368,,,"As of 1st November 2022, this site will reflect the National and State level data as published by MoHFW. The district level data will not be updated beyond 31st October 2022.",442575,5331,437243,,0,0
7,2023-02-14,JH,Giridih,,,,,,,,2023-02-15 13:55:26.101368,,,"As of 1st November 2022, this site will reflect the National and State level data as published by MoHFW. The district level data will not be updated beyond 31st October 2022.",442575,5331,437243,,0,0
8,2023-02-14,JH,Godda,,,,,,,,2023-02-15 13:55:26.101368,,,"As of 1st November 2022, this site will reflect the National and State level data as published by MoHFW. The district level data will not be updated beyond 31st October 2022.",442575,5331,437243,,0,0
9,2023-02-14,JH,Gumla,,,,,,,,2023-02-15 13:55:26.101368,,,"As of 1st November 2022, this site will reflect the National and State level data as published by MoHFW. The district level data will not be updated beyond 31st October 2022.",442575,5331,437243,,0,0
10,2023-02-14,JH,Hazaribagh,,,,,,,,2023-02-15 13:55:26.101368,,,"As of 1st November 2022, this site will reflect the National and State level data as published by MoHFW. The district level data will not be updated beyond 31st October 2022.",442575,5331,437243,,0,0
11,2023-02-14,JH,Jamtara,,,,,,,,2023-02-15 13:55:26.101368,,,"As of 1st November 2022, this site will reflect the National and State level data as published by MoHFW. The district level data will not be updated beyond 31st October 2022.",442575,5331,437243,,0,0
12,2023-02-14,JH,Khunti,,,,,,,,2023-02-15 13:55:26.101368,,,"As of 1st November 2022, this site will reflect the National and State level data as published by MoHFW. The district level data will not be updated beyond 31st October 2022.",442575,5331,437243,,0,0
13,2023-02-14,JH,Koderma,,,,,,,,2023-02-15 13:55:26.101368,,,"As of 1st November 2022, this site will reflect the National and State level data as published by MoHFW. The district level data will not be updated beyond 31st October 2022.",442575,5331,437243,,0,0
14,2023-02-14,JH,Latehar,,,,,,,,2023-02-15 13:55:26.101368,,,"As of 1st November 2022, this site will reflect the National and State level data as published by MoHFW. The district level data will not be updated beyond 31st October 2022.",442575,5331,437243,,0,0
15,2023-02-14,JH,Lohardaga,,,,,,,,2023-02-15 13:55:26.101368,,,"As of 1st November 2022, this site will reflect the National and State level data as published by MoHFW. The district level data will not be updated beyond 31st October 2022.",442575,5331,437243,,0,0
16,2023-02-14,JH,Pakur,,,,,,,,2023-02-15 13:55:26.101368,,,"As of 1st November 2022, this site will reflect the National and State level data as published by MoHFW. The district level data will not be updated beyond 31st October 2022.",442575,5331,437243,,0,0
17,2023-02-14,JH,Palamu,,,,,,,,2023-02-15 13:55:26.101368,,,"As of 1st November 2022, this site will reflect the National and State level data as published by MoHFW. The district level data will not be updated beyond 31st October 2022.",442575,5331,437243,,0,0
18,2023-02-14,JH,Ramgarh,,,,,,,,2023-02-15 13:55:26.101368,,,"As of 1st November 2022, this site will reflect the National and State level data as published by MoHFW. The district level data will not be updated beyond 31st October 2022.",442575,5331,437243,,0,0
19,2023-02-14,JH,Ranchi,,,,,,,,2023-02-15 13:55:26.101368,,,"As of 1st November 2022, this site will reflect the National and State level data as published by MoHFW. The district level data will not be updated beyond 31st October 2022.",442575,5331,437243,,0,0
20,2023-02-14,JH,Sahibganj,,,,,,,,2023-02-15 13:55:26.101368,,,"As of 1st November 2022, this site will reflect the National and State level data as published by MoHFW. The district level data will not be updated beyond 31st October 2022.",442575,5331,437243,,0,0
21,2023-02-14,JH,Saraikela-Kharsawan,,,,,,,,2023-02-15 13:55:26.101368,,,"As of 1st November 2022, this site will reflect the National and State level data as published by MoHFW. The district level data will not be updated beyond 31st October 2022.",442575,5331,437243,,0,0
22,2023-02-14,JH,Simdega,,,,,,,,2023-02-15 13:55:26.101368,,,"As of 1st November 2022, this site will reflect the National and State level data as published by MoHFW. The district level data will not be updated beyond 31st October 2022.",442575,5331,437243,,0,0
23,2023-02-14,JH,West Singhbhum,,,,,,,,2023-02-15 13:55:26.101368,,,"As of 1st November 2022, this site will reflect the National and State level data as published by MoHFW. The district level data will not be updated beyond 31st October 2022.",442575,5331,437243,,0,0
24,2023-02-14,JH,Unknown,,,,442575,5331,437243,,2023-02-15 13:55:26.101368,,,"As of 1st November 2022, this site will reflect the National and State level data as published by MoHFW. The district level data will not be updated beyond 31st October 2022.",442575,5331,437243,,0,0
