District,Recovered,Deceased,Active
क्रिरोजाबाद,10614,136,3
गोंडा,14173.0,285.0,3.0
प्रतापगढ़,16765.0,163.0,3.0
अमठेी,11525.0,145.0,2.0
आजमगढ़,19463.0,235.0,2.0
बागपत,11078.0,144.0,2.0
बललया,22519.0,246.0,2.0
बस्ती,12814.0,337.0,2.0
कुशीनगर,16243.0,235.0,2.0
सभंल,11037.0,109.0,2.0
श्रावस्ती,5244.0,42.0,2.0
लसद्धाथ ुनगर,11527.0,102.0,2.0
बदाय,17919.0,101.0,1.0
बलरामपरु,8126.0,139.0,1.0
बहराइच,13419.0,178.0,1.0
भदोही,8491.0,166.0,1.0
बबजनौर,18298.0,139.0,1.0
एटा,12108.0,100.0,1.0
हाथरस,3724.0,43.0,1.0
कानपरु देहात,7128.0,111.0,1.0
सतं कबीर नगर,8856.0,101.0,1.0
कासगजं,4898.0,55.0,0.0
औरैय्या,10820.0,211.0,0.0
हापड़ु,15202.0,224.0,0.0
कौशाम्बी,4882.0,72.0,0.0
महोबा,4476.0,89.0,0.0
मऊ,8941.0,86.0,0.0
लमर्ाुपरु,11961.0,126.0,0.0
मजुफ्फरनगर,38346.0,277.0,0.0
पीलीभीत,12736.0,206.0,0.0
रामपरु,14620.0,153.0,0.0
शामली,16711.0,48.0,0.0
