Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeOtherNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeOtherNumberForState,cumulativeTestedNumberForState
2022-06-05,OR,Angul,,,,48052,418,0,47634,,2022-06-05 11:55:25.642842,2022-06-05 11:55:25.643708,,,1288504,9126,1279235,0,31794799
2022-06-05,OR,Balasore,,,,49011,360,0,48643,,2022-06-05 11:55:25.642842,2022-06-05 11:55:25.643708,,,1288504,9126,1279235,0,31794799
2022-06-05,OR,Bargarh,,,,34549,353,0,34195,,2022-06-05 11:55:25.642842,2022-06-05 11:55:25.643708,,,1288504,9126,1279235,0,31794799
2022-06-05,OR,Bhadrak,,,,29479,173,0,29302,,2022-06-05 11:55:25.642842,2022-06-05 11:55:25.643708,,,1288504,9126,1279235,0,31794799
2022-06-05,OR,Balangir,,,,28993,131,0,28861,,2022-06-05 11:55:25.642842,2022-06-05 11:55:25.643708,,,1288504,9126,1279235,0,31794799
2022-06-05,OR,Boudh,,,,14605,113,0,14480,,2022-06-05 11:55:25.642842,2022-06-05 11:55:25.643708,,,1288504,9126,1279235,0,31794799
2022-06-05,OR,Cuttack,,,,113782,907,0,112857,,2022-06-05 11:55:25.642842,2022-06-05 11:55:25.643708,,,1288504,9126,1279235,0,31794799
2022-06-05,OR,Deogarh,,,,8558,53,0,8504,,2022-06-05 11:55:25.642842,2022-06-05 11:55:25.643708,,,1288504,9126,1279235,0,31794799
2022-06-05,OR,Dhenkanal,,,,22365,265,0,22100,,2022-06-05 11:55:25.642842,2022-06-05 11:55:25.643708,,,1288504,9126,1279235,0,31794799
2022-06-05,OR,Gajapati,,,,13134,83,0,13050,,2022-06-05 11:55:25.642842,2022-06-05 11:55:25.643708,,,1288504,9126,1279235,0,31794799
2022-06-05,OR,Ganjam,,,,36762,512,0,36238,,2022-06-05 11:55:25.642842,2022-06-05 11:55:25.643708,,,1288504,9126,1279235,0,31794799
2022-06-05,OR,Jagatsinghpur,,,,32093,344,0,31749,,2022-06-05 11:55:25.642842,2022-06-05 11:55:25.643708,,,1288504,9126,1279235,0,31794799
2022-06-05,OR,Jajpur,,,,50306,200,0,50105,,2022-06-05 11:55:25.642842,2022-06-05 11:55:25.643708,,,1288504,9126,1279235,0,31794799
2022-06-05,OR,Jharsuguda,,,,28475,182,0,28293,,2022-06-05 11:55:25.642842,2022-06-05 11:55:25.643708,,,1288504,9126,1279235,0,31794799
2022-06-05,OR,Kalahandi,,,,28670,219,0,28451,,2022-06-05 11:55:25.642842,2022-06-05 11:55:25.643708,,,1288504,9126,1279235,0,31794799
2022-06-05,OR,Kandhamal,,,,13535,95,0,13440,,2022-06-05 11:55:25.642842,2022-06-05 11:55:25.643708,,,1288504,9126,1279235,0,31794799
2022-06-05,OR,Kendrapara,,,,27975,274,0,27698,,2022-06-05 11:55:25.642842,2022-06-05 11:55:25.643708,,,1288504,9126,1279235,0,31794799
2022-06-05,OR,Kendujhar,,,,24265,193,0,24069,,2022-06-05 11:55:25.642842,2022-06-05 11:55:25.643708,,,1288504,9126,1279235,0,31794799
2022-06-05,OR,Khordha,,,,244990,1750,0,243199,,2022-06-05 11:55:25.642842,2022-06-05 11:55:25.643708,,,1288504,9126,1279235,0,31794799
2022-06-05,OR,Koraput,,,,23600,84,0,23516,,2022-06-05 11:55:25.642842,2022-06-05 11:55:25.643708,,,1288504,9126,1279235,0,31794799
2022-06-05,OR,Malkangiri,,,,12868,48,0,12817,,2022-06-05 11:55:25.642842,2022-06-05 11:55:25.643708,,,1288504,9126,1279235,0,31794799
2022-06-05,OR,Mayurbhanj,,,,48442,308,0,48131,,2022-06-05 11:55:25.642842,2022-06-05 11:55:25.643708,,,1288504,9126,1279235,0,31794799
2022-06-05,OR,Nabarangapur,,,,27431,91,0,27338,,2022-06-05 11:55:25.642842,2022-06-05 11:55:25.643708,,,1288504,9126,1279235,0,31794799
2022-06-05,OR,Nayagarh,,,,28396,227,0,28166,,2022-06-05 11:55:25.642842,2022-06-05 11:55:25.643708,,,1288504,9126,1279235,0,31794799
2022-06-05,OR,Nuapada,,,,26765,91,0,26673,,2022-06-05 11:55:25.642842,2022-06-05 11:55:25.643708,,,1288504,9126,1279235,0,31794799
2022-06-05,OR,Puri,,,,49988,487,0,49497,,2022-06-05 11:55:25.642842,2022-06-05 11:55:25.643708,,,1288504,9126,1279235,0,31794799
2022-06-05,OR,Rayagada,,,,24821,174,0,24647,,2022-06-05 11:55:25.642842,2022-06-05 11:55:25.643708,,,1288504,9126,1279235,0,31794799
2022-06-05,OR,Sambalpur,,,,42216,247,0,41965,,2022-06-05 11:55:25.642842,2022-06-05 11:55:25.643708,,,1288504,9126,1279235,0,31794799
2022-06-05,OR,Subarnapur,,,,16427,62,0,16365,,2022-06-05 11:55:25.642842,2022-06-05 11:55:25.643708,,,1288504,9126,1279235,0,31794799
2022-06-05,OR,Sundargarh,,,,90853,681,0,90162,,2022-06-05 11:55:25.642842,2022-06-05 11:55:25.643708,,,1288504,9126,1279235,0,31794799
