,Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeOtherNumberForState,cumulativeOtherNumberForDistrict
0,2023-05-27,ML,East Garo Hills,,,,2090,20,2072,,2023-06-10 04:30:43.367743,,,Since there are no updates for 27th May from MoHFW the portal reflects data of 26th May 2023,96934,1627,95296,,0,0
1,2023-05-27,ML,East Jaintia Hills,,,,2678,40,2638,,2023-06-10 04:30:43.367743,,,Since there are no updates for 27th May from MoHFW the portal reflects data of 26th May 2023,96934,1627,95296,,0,0
2,2023-05-27,ML,East Khasi Hills,,,,47921,1080,46828,,2023-06-10 04:30:43.367743,,,Since there are no updates for 27th May from MoHFW the portal reflects data of 26th May 2023,96934,1627,95296,,0,0
3,2023-05-27,ML,North Garo Hills,,,,1921,10,1911,,2023-06-10 04:30:43.367743,,,Since there are no updates for 27th May from MoHFW the portal reflects data of 26th May 2023,96934,1627,95296,,0,0
4,2023-05-27,ML,Ribhoi,,,,,,,,2023-06-10 04:30:43.367743,,,Since there are no updates for 27th May from MoHFW the portal reflects data of 26th May 2023,96934,1627,95296,,0,0
5,2023-05-27,ML,South Garo Hills,,,,1442,16,1425,,2023-06-10 04:30:43.367743,,,Since there are no updates for 27th May from MoHFW the portal reflects data of 26th May 2023,96934,1627,95296,,0,0
6,2023-05-27,ML,South West Garo Hills,,,,2271,21,2252,,2023-06-10 04:30:43.367743,,,Since there are no updates for 27th May from MoHFW the portal reflects data of 26th May 2023,96934,1627,95296,,0,0
7,2023-05-27,ML,South West Khasi Hills,,,,2723,20,2703,,2023-06-10 04:30:43.367743,,,Since there are no updates for 27th May from MoHFW the portal reflects data of 26th May 2023,96934,1627,95296,,0,0
8,2023-05-27,ML,West Garo Hills,,,,11902,84,11808,,2023-06-10 04:30:43.367743,,,Since there are no updates for 27th May from MoHFW the portal reflects data of 26th May 2023,96934,1627,95296,,0,0
9,2023-05-27,ML,West Jaintia Hills,,,,7329,142,7190,,2023-06-10 04:30:43.367743,,,Since there are no updates for 27th May from MoHFW the portal reflects data of 26th May 2023,96934,1627,95296,,0,0
10,2023-05-27,ML,West Khasi Hills,,,,5672,78,5594,,2023-06-10 04:30:43.367743,,,Since there are no updates for 27th May from MoHFW the portal reflects data of 26th May 2023,96934,1627,95296,,0,0
11,2023-05-27,ML,Unknown,,,,212,5,223,,2023-06-10 04:30:43.367743,,,Since there are no updates for 27th May from MoHFW the portal reflects data of 26th May 2023,96934,1627,95296,,0,0
