District,Recovered,Deceased,Active
आजमगढ़,17678,228,3
फरु्रखाबाद,10155.0,194.0,3.0
हरदोई,13408.0,349.0,3.0
बहराइच,11372.0,178.0,2.0
क्रिरोजाबाद,8586.0,135.0,2.0
हाथरस,2877.0,43.0,2.0
कन्नौज,9114.0,115.0,2.0
मनैपरुी,9851.0,182.0,2.0
मऊ,8253.0,80.0,2.0
लमर्ाुपरु,10973.0,116.0,2.0
पीलीभीत,10839.0,193.0,2.0
सीतापरु,12214.0,185.0,2.0
इटावा,13640.0,293.0,1.0
फतहेपरु,6679.0,139.0,1.0
हमीरपरु,5137.0,102.0,1.0
कासगजं,4197.0,53.0,1.0
कौशाम्बी,4356.0,70.0,1.0
कुशीनगर,15390.0,228.0,1.0
लखीमपरु-खीरी,24125.0,292.0,1.0
लललतपरु,12621.0,128.0,1.0
प्रतापगढ़,15875.0,163.0,1.0
श्रावस्ती,4353.0,35.0,1.0
अम्बडेकर नगर,4888.0,152.0,0.0
बादा,10832.0,161.0,0.0
भदोही,7558.0,163.0,0.0
चचत्रकट,7031.0,79.0,0.0
जालौन,11489.0,202.0,0.0
जौनपरु,22350.0,235.0,0.0
महोबा,4182.0,86.0,0.0
सतं कबीर नगर,8064.0,98.0,0.0
लसद्धाथ ुनगर,9275.0,100.0,0.0
सलु्तानपरु,14780.0,138.0,0.0
