Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,Column 19
2022-06-20,JK,Srinagar,2022-06-20 17:00:00+05:30,https://twitter.com/diprjk,,102758,907,101805,,2022-06-20 19:55:54.488220,2022-06-20 17:00:00+05:30,https://twitter.com/diprjk,,454520,4753,449598,25662863,
2022-06-20,JK,Baramulla,2022-06-20 17:00:00+05:30,https://twitter.com/diprjk,,37674,304,37367,,2022-06-20 19:55:54.488220,2022-06-20 17:00:00+05:30,https://twitter.com/diprjk,,454520,4753,449598,25662863,
2022-06-20,JK,Budgam,2022-06-20 17:00:00+05:30,https://twitter.com/diprjk,,34853,237,34613,,2022-06-20 19:55:54.488220,2022-06-20 17:00:00+05:30,https://twitter.com/diprjk,,454520,4753,449598,25662863,
2022-06-20,JK,Pulwama,2022-06-20 17:00:00+05:30,https://twitter.com/diprjk,,18429,201,18228,,2022-06-20 19:55:54.488220,2022-06-20 17:00:00+05:30,https://twitter.com/diprjk,,454520,4753,449598,25662863,
2022-06-20,JK,Kupwara,2022-06-20 17:00:00+05:30,https://twitter.com/diprjk,,21771,174,21587,,2022-06-20 19:55:54.488220,2022-06-20 17:00:00+05:30,https://twitter.com/diprjk,,454520,4753,449598,25662863,
2022-06-20,JK,Anantnag,2022-06-20 17:00:00+05:30,https://twitter.com/diprjk,,22435,219,22216,,2022-06-20 19:55:54.488220,2022-06-20 17:00:00+05:30,https://twitter.com/diprjk,,454520,4753,449598,25662863,
2022-06-20,JK,Bandipora,2022-06-20 17:00:00+05:30,https://twitter.com/diprjk,,13688,119,13569,,2022-06-20 19:55:54.488220,2022-06-20 17:00:00+05:30,https://twitter.com/diprjk,,454520,4753,449598,25662863,
2022-06-20,JK,Ganderbal,2022-06-20 17:00:00+05:30,https://twitter.com/diprjk,,13627,84,13543,,2022-06-20 19:55:54.488220,2022-06-20 17:00:00+05:30,https://twitter.com/diprjk,,454520,4753,449598,25662863,
2022-06-20,JK,Kulgam,2022-06-20 17:00:00+05:30,https://twitter.com/diprjk,,16324,119,16205,,2022-06-20 19:55:54.488220,2022-06-20 17:00:00+05:30,https://twitter.com/diprjk,,454520,4753,449598,25662863,
2022-06-20,JK,Shopiyan,2022-06-20 17:00:00+05:30,https://twitter.com/diprjk,,6307,60,6247,,2022-06-20 19:55:54.488220,2022-06-20 17:00:00+05:30,https://twitter.com/diprjk,,454520,4753,449598,25662863,
2022-06-20,JK,Jammu,2022-06-20 17:00:00+05:30,https://twitter.com/diprjk,,76536,1225,75214,,2022-06-20 19:55:54.488220,2022-06-20 17:00:00+05:30,https://twitter.com/diprjk,,454520,4753,449598,25662863,
2022-06-20,JK,Udhampur,2022-06-20 17:00:00+05:30,https://twitter.com/diprjk,,14780,147,14628,,2022-06-20 19:55:54.488220,2022-06-20 17:00:00+05:30,https://twitter.com/diprjk,,454520,4753,449598,25662863,
2022-06-20,JK,Rajouri,2022-06-20 17:00:00+05:30,https://twitter.com/diprjk,,12813,249,12562,,2022-06-20 19:55:54.488220,2022-06-20 17:00:00+05:30,https://twitter.com/diprjk,,454520,4753,449598,25662863,
2022-06-20,JK,Doda,2022-06-20 17:00:00+05:30,https://twitter.com/diprjk,,11533,144,11389,,2022-06-20 19:55:54.488220,2022-06-20 17:00:00+05:30,https://twitter.com/diprjk,,454520,4753,449598,25662863,
2022-06-20,JK,Kathua,2022-06-20 17:00:00+05:30,https://twitter.com/diprjk,,11420,166,11253,,2022-06-20 19:55:54.488220,2022-06-20 17:00:00+05:30,https://twitter.com/diprjk,,454520,4753,449598,25662863,
2022-06-20,JK,Samba,2022-06-20 17:00:00+05:30,https://twitter.com/diprjk,,9094,125,8967,,2022-06-20 19:55:54.488220,2022-06-20 17:00:00+05:30,https://twitter.com/diprjk,,454520,4753,449598,25662863,
2022-06-20,JK,Kishtwar,2022-06-20 17:00:00+05:30,https://twitter.com/diprjk,,5895,46,5849,,2022-06-20 19:55:54.488220,2022-06-20 17:00:00+05:30,https://twitter.com/diprjk,,454520,4753,449598,25662863,
2022-06-20,JK,Punch,2022-06-20 17:00:00+05:30,https://twitter.com/diprjk,,7741,110,7631,,2022-06-20 19:55:54.488220,2022-06-20 17:00:00+05:30,https://twitter.com/diprjk,,454520,4753,449598,25662863,
2022-06-20,JK,Ramban,2022-06-20 17:00:00+05:30,https://twitter.com/diprjk,,8138,69,8069,,2022-06-20 19:55:54.488220,2022-06-20 17:00:00+05:30,https://twitter.com/diprjk,,454520,4753,449598,25662863,
2022-06-20,JK,Reasi,2022-06-20 17:00:00+05:30,https://twitter.com/diprjk,,8704,48,8656,,2022-06-20 19:55:54.488220,2022-06-20 17:00:00+05:30,https://twitter.com/diprjk,,454520,4753,449598,25662863,
