District,Recovered,Deceased,Active
औरैय्या,10785,211,1
अयोध्या,18679.0,293.0,1.0
बललया,22517.0,246.0,1.0
बादा,12057.0,166.0,1.0
भदोही,8475.0,165.0,1.0
एटा,12104.0,100.0,1.0
फतहेपरु,8293.0,141.0,1.0
क्रिरोजाबाद,10565.0,136.0,1.0
हमीरपरु,6066.0,102.0,1.0
मऊ,8937.0,86.0,1.0
मरुादाबाद,46071.0,368.0,1.0
सभंल,11024.0,109.0,1.0
अलीगढ,25477.0,113.0,0.0
आजमगढ़,19438.0,235.0,0.0
बस्ती,12801.0,337.0,0.0
िदंौली,17533.0,378.0,0.0
गाजीपरु,23878.0,295.0,0.0
हापड़ु,15192.0,224.0,0.0
हाथरस,3716.0,43.0,0.0
कानपरु देहात,7126.0,111.0,0.0
कासगजं,4885.0,55.0,0.0
कौशाम्बी,4878.0,72.0,0.0
महोबा,4471.0,89.0,0.0
लमर्ाुपरु,11954.0,126.0,0.0
मजुफ्फरनगर,38328.0,277.0,0.0
पीलीभीत,12728.0,205.0,0.0
प्रतापगढ़,16745.0,163.0,0.0
रामपरु,14608.0,153.0,0.0
सहारनपरु,38370.0,428.0,0.0
सतं कबीर नगर,8854.0,101.0,0.0
शाहजहांपरु,24401.0,447.0,0.0
शामली,16696.0,48.0,0.0
