District,Recovered,Deceased,Active
बबजनौर,18290,139,2
एटा,12105.0,100.0,2.0
फतहेपरु,8310.0,141.0,2.0
मजुफ्फरनगर,38331.0,277.0,2.0
शामली,16696.0,48.0,2.0
लसद्धाथ ुनगर,11525.0,102.0,2.0
सीतापरु,15766.0,187.0,2.0
अमठेी,11517.0,145.0,1.0
बस्ती,12803.0,337.0,1.0
भदोही,8486.0,165.0,1.0
देवररया,22408.0,230.0,1.0
हाथरस,3718.0,43.0,1.0
लमर्ाुपरु,11955.0,126.0,1.0
सभंल,11024.0,109.0,1.0
श्रावस्ती,5235.0,42.0,1.0
अयोध्या,18681.0,293.0,0.0
बदाय,17914.0,101.0,0.0
बागपत,11067.0,144.0,0.0
बललया,22518.0,246.0,0.0
बलरामपरु,8123.0,139.0,0.0
बहराइि,13417.0,178.0,0.0
गाजीपरु,23878.0,295.0,0.0
हापड़ु,15196.0,224.0,0.0
कानपरु देहात,7127.0,111.0,0.0
कासगजं,4887.0,55.0,0.0
कौशाम्बी,4880.0,72.0,0.0
महोबा,4471.0,89.0,0.0
मनैपरुी,11486.0,189.0,0.0
मऊ,8940.0,86.0,0.0
पीलीभीत,12730.0,205.0,0.0
सतं कबीर नगर,8854.0,101.0,0.0
सोनभद्र,18658.0,257.0,0.0
