,Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeOtherNumberForState,cumulativeOtherNumberForDistrict
11,2023-08-24,JH,Jamtara,,,,,,,,2023-08-25 17:57:26.252563,,,"As of 1st November 2022, this site will reflect the National and State level data as published by MoHFW. The district level data will not be updated beyond 31st October 2022.",443825,5334,438491,,0,0
12,2023-08-24,JH,Khunti,,,,,,,,2023-08-25 17:57:26.252563,,,"As of 1st November 2022, this site will reflect the National and State level data as published by MoHFW. The district level data will not be updated beyond 31st October 2022.",443825,5334,438491,,0,0
13,2023-08-24,JH,Koderma,,,,,,,,2023-08-25 17:57:26.252563,,,"As of 1st November 2022, this site will reflect the National and State level data as published by MoHFW. The district level data will not be updated beyond 31st October 2022.",443825,5334,438491,,0,0
14,2023-08-24,JH,Latehar,,,,,,,,2023-08-25 17:57:26.252563,,,"As of 1st November 2022, this site will reflect the National and State level data as published by MoHFW. The district level data will not be updated beyond 31st October 2022.",443825,5334,438491,,0,0
15,2023-08-24,JH,Lohardaga,,,,,,,,2023-08-25 17:57:26.252563,,,"As of 1st November 2022, this site will reflect the National and State level data as published by MoHFW. The district level data will not be updated beyond 31st October 2022.",443825,5334,438491,,0,0
16,2023-08-24,JH,Pakur,,,,,,,,2023-08-25 17:57:26.252563,,,"As of 1st November 2022, this site will reflect the National and State level data as published by MoHFW. The district level data will not be updated beyond 31st October 2022.",443825,5334,438491,,0,0
17,2023-08-24,JH,Palamu,,,,,,,,2023-08-25 17:57:26.252563,,,"As of 1st November 2022, this site will reflect the National and State level data as published by MoHFW. The district level data will not be updated beyond 31st October 2022.",443825,5334,438491,,0,0
18,2023-08-24,JH,Ramgarh,,,,,,,,2023-08-25 17:57:26.252563,,,"As of 1st November 2022, this site will reflect the National and State level data as published by MoHFW. The district level data will not be updated beyond 31st October 2022.",443825,5334,438491,,0,0
19,2023-08-24,JH,Ranchi,,,,,,,,2023-08-25 17:57:26.252563,,,"As of 1st November 2022, this site will reflect the National and State level data as published by MoHFW. The district level data will not be updated beyond 31st October 2022.",443825,5334,438491,,0,0
20,2023-08-24,JH,Sahibganj,,,,,,,,2023-08-25 17:57:26.252563,,,"As of 1st November 2022, this site will reflect the National and State level data as published by MoHFW. The district level data will not be updated beyond 31st October 2022.",443825,5334,438491,,0,0
21,2023-08-24,JH,Saraikela-Kharsawan,,,,,,,,2023-08-25 17:57:26.252563,,,"As of 1st November 2022, this site will reflect the National and State level data as published by MoHFW. The district level data will not be updated beyond 31st October 2022.",443825,5334,438491,,0,0
22,2023-08-24,JH,Simdega,,,,,,,,2023-08-25 17:57:26.252563,,,"As of 1st November 2022, this site will reflect the National and State level data as published by MoHFW. The district level data will not be updated beyond 31st October 2022.",443825,5334,438491,,0,0
23,2023-08-24,JH,West Singhbhum,,,,,,,,2023-08-25 17:57:26.252563,,,"As of 1st November 2022, this site will reflect the National and State level data as published by MoHFW. The district level data will not be updated beyond 31st October 2022.",443825,5334,438491,,0,0
24,2023-08-24,JH,Unknown,,,,443825,5334,438491,,2023-08-25 17:57:26.252563,,,"As of 1st November 2022, this site will reflect the National and State level data as published by MoHFW. The district level data will not be updated beyond 31st October 2022.",443825,5334,438491,,0,0
