,Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeOtherNumberForState,cumulativeOtherNumberForDistrict
0,2022-06-22,DL,Central Delhi,,,,,,,,2022-06-23 11:55:24.086596,,,,1925460,26242,1894164,38919278,0,0
1,2022-06-22,DL,East Delhi,,,,,,,,2022-06-23 11:55:24.086596,,,,1925460,26242,1894164,38919278,0,0
2,2022-06-22,DL,New Delhi,,,,,,,,2022-06-23 11:55:24.086596,,,,1925460,26242,1894164,38919278,0,0
3,2022-06-22,DL,North Delhi,,,,,,,,2022-06-23 11:55:24.086596,,,,1925460,26242,1894164,38919278,0,0
4,2022-06-22,DL,North East Delhi,,,,,,,,2022-06-23 11:55:24.086596,,,,1925460,26242,1894164,38919278,0,0
5,2022-06-22,DL,North West Delhi,,,,,,,,2022-06-23 11:55:24.086596,,,,1925460,26242,1894164,38919278,0,0
6,2022-06-22,DL,Shahdara,,,,,,,,2022-06-23 11:55:24.086596,,,,1925460,26242,1894164,38919278,0,0
7,2022-06-22,DL,South Delhi,,,,,,,,2022-06-23 11:55:24.086596,,,,1925460,26242,1894164,38919278,0,0
8,2022-06-22,DL,South East Delhi,,,,,,,,2022-06-23 11:55:24.086596,,,,1925460,26242,1894164,38919278,0,0
9,2022-06-22,DL,South West Delhi,,,,,,,,2022-06-23 11:55:24.086596,,,,1925460,26242,1894164,38919278,0,0
10,2022-06-22,DL,West Delhi,,,,,,,,2022-06-23 11:55:24.086596,,,,1925460,26242,1894164,38919278,0,0
11,2022-06-22,DL,Unknown,,,,1925460,26242,1894164,,2022-06-23 11:55:24.086596,,,,1925460,26242,1894164,38919278,0,0
