"Sl. 
No","District","Total Positive 
Cases","Discharged","Active 
Cases","Death"
"1","Ariyalur","19883","19616","0","267"
"2","Chengalpattu","236086","233171","257","2658"
"3","Chennai","752733","743295","370","9068"
"4","Coimbatore","330072","327426","29","2617"
"5","Cuddalore","74271","73374","2","895"
"6","Dharmapuri","36193","35909","1","283"
"7","Dindigul","37480","36815","0","665"
"8","Erode","132676","131942","0","734"
"9","Kallakurichi","36522","36307","0","215"
"10","Kancheepuram","94468","93152","14","1302"
"11","Kanyakumari","86240","85152","3","1085"
"12","Karur","29758","29386","0","372"
"13","Krishnagiri","59650","59272","8","370"
"14","Madurai","91055","89818","1","1236"
"15","Mayiladuthurai","26498","26168","0","330"
"16","Nagapattinam","25443","25068","0","375"
"17","Namakkal","68011","67476","1","534"
"18","Nilgiris","42135","41909","0","226"
"19","Perambalur","14461","14212","0","249"
"20","Pudukottai","34473","34047","0","426"
"21","Ramanathapuram","24682","24314","0","368"
"22","Ranipet","53936","53145","4","787"
"23","Salem","127403","125638","3","1762"
"24","Sivagangai","23839","23619","1","219"
"25","Tenkasi","32747","32256","1","490"
"26","Thanjavur","92169","91129","1","1039"
"27","Theni","50604","50070","1","533"
"28","Thirupathur","35738","35105","0","633"
"29","Thiruvallur","147556","145591","26","1939"
"30","Thiruvannamalai","66815","66129","1","685"
"31","Thiruvarur","48018","47545","1","472"
"32","Thoothukudi","64971","64522","1","448"
"33","Tirunelveli","62779","62330","4","445"
"34","Tiruppur","129941","128888","1","1052"
"35","Trichy","94974","93811","2","1161"
"36","Vellore","57328","56160","5","1163"
"37","Villupuram","54588","54222","0","366"
"38","Virudhunagar","56842","56287","1","554"
"39","Airport Surveillance 
(International)","1287","1273","13","1"
"40","Airport Surveillance 
(Domestic)","1118","1113","4","1"
"41","Railway Surveillance","428","428","0","0"
"Grand Total","","34,55,871","34,17,090","756","38,025"
